; CSV, generated by libsigrok4DSL 0.2.0 on Thu Apr 09 14:56:01 2020
; Channels (3/16)
; Sample rate: 50 MHz
; Sample count: 250.384 M Samples
Time(s), E, D, 2
0.0608832,0,0,0
0.06088328,0,1,0
0.06088338,0,0,0
0.06088346,0,1,0
0.0608836,0,0,0
0.06088376,0,1,0
0.06088388,0,0,0
0.06088396,0,1,0
0.06088406,0,0,0
0.06088412,0,1,0
0.06088428,0,0,0
0.06088438,0,1,0
0.06088448,0,0,0
0.06088454,0,1,0
0.06088464,0,0,0
0.06088472,0,1,0
0.06088482,0,0,0
0.06088488,0,1,0
0.06088498,0,0,0
0.06088512,0,1,0
0.06088524,0,0,0
0.0608853,0,1,0
0.06088546,0,0,0
0.06088556,0,1,0
0.06088564,0,0,0
0.06088572,0,1,0
0.06088582,0,0,0
0.0608859,0,1,0
0.060886,0,0,0
0.06088608,0,1,0
0.06088616,0,0,0
0.06088632,0,1,0
0.06088642,0,0,0
0.06088666,0,1,0
0.06088702,1,1,0
0.06088738,1,0,0
0.07478184,1,1,0
0.07478216,1,0,0
0.07478226,1,1,0
0.07478236,1,0,0
0.0747825,1,1,0
0.07478262,1,0,0
0.07478268,1,1,0
0.07478278,1,0,0
0.07478284,1,1,0
0.07478294,1,0,0
0.07478302,1,1,0
0.07478316,1,0,0
0.07478326,1,1,0
0.07478334,1,0,0
0.07478348,1,1,0
0.0747836,1,0,0
0.07478366,1,1,0
0.07478376,1,0,0
0.07478384,1,1,0
0.07478398,1,0,0
0.07478408,0,1,0
0.07478418,0,0,0
0.07478432,0,1,0
0.07478442,0,0,0
0.0747845,0,1,0
0.07478458,0,0,0
0.07478466,0,1,0
0.07478476,0,0,0
0.07478482,0,1,0
0.07478498,0,0,0
0.07478506,0,1,0
0.07478516,0,0,0
0.07478524,0,1,0
0.07478534,0,0,0
0.07478546,0,1,0
0.07478558,0,0,0
0.07478566,0,1,0
0.07478574,0,0,0
0.07478582,0,1,0
0.07478592,0,0,0
0.07478598,0,1,0
0.07478608,0,0,0
0.07478616,0,1,0
0.07478624,0,0,0
0.07478632,0,1,0
0.07478646,0,0,0
0.07478656,0,1,0
0.07478666,0,0,0
0.07478678,0,1,0
0.07478696,0,0,0
0.07478714,0,1,0
0.0747873,0,0,0
